Timestamp,AGE,Gender,Sleep Hours (Last Night),Sleep Quality,Wake-up Time,Breakfast,Steps Walked Today(Approx),Water Intake(Glasses),Exercise Today,Caffeine Intake,Total Screen Time (Hours Today),Social Media Usage Today,Stress Level (1-10),Mood Level Right Now(1-10),Energy Level Right Now(1-10),Work/Study Hours Today (So far),Time Spent Outside Today,Weather (Your Area Today),Completed your goal today?  
17/11/2025 23:42:39,18-20,Female,6-7 hours,3,After 9 AM,Yes,0-2000,3-4,No,0 cups,6-8 hours,3+ hours,6,4,3,0 hours,0–10 minutes,Rainy,Yes
18/11/2025 00:01:47,18-20,Male,6-7 hours,3,7-8 AM,No,"10,000+",3-4,"Yes, intense (45+ min)",0 cups,6-8 hours,1-2 hours,5,4,4,5+ hours,2+ hours,Cold,Yes
18/11/2025 02:15:28,18-20,Male,6-7 hours,5 (Excellent),7-8 AM,Yes,5000-8000,7-9,"Yes, light (0-20 min)",2 cups,4-6 hours,1-2 hours,4,9,10,5+ hours,30–60 minutes,Pleasant,Yes
18/11/2025 13:11:01,21-23,Male,5-6 hours,3,6-7 AM,Yes,2000-5000,3-4,"Yes, light (0-20 min)",0 cups,4-6 hours,30-60 min,2,9,9,2 hours,0–10 minutes,Cold,Yes
18/11/2025 13:11:27,18-20,Male,6-7 hours,3,6-7 AM,Yes,"8000-10,000",0-2,"Yes, medium (20-45 min)",2 cups,4-6 hours,2-3 hours,4,8,8,3 hours,2+ hours,Pleasant,No
18/11/2025 13:12:22,18-20,Male,6-7 hours,4,7-8 AM,Yes,5000-8000,0-2,"Yes, light (0-20 min)",1 cup,4-6 hours,1-2 hours,2,6,9,3 hours,2+ hours,Cold,Yes
18/11/2025 13:12:43,18-20,Female,7-8 hours,4,8-9 AM,Yes,5000-8000,3-4,"Yes, intense (45+ min)",1 cup,4-6 hours,1-2 hours,5,6,6,3 hours,1–2 hours,Cold,Yes
18/11/2025 13:12:56,18-20,Male,7-8 hours,5 (Excellent),6-7 AM,Yes,5000-8000,7-9,"Yes, light (0-20 min)",0 cups,4-6 hours,1-2 hours,3,6,5,2 hours,2+ hours,Pleasant,Yes
18/11/2025 13:13:05,18-20,Female,More than 8 hours,5 (Excellent),6-7 AM,Yes,2000-5000,0-2,"Yes, light (0-20 min)",0 cups,2-4 hours,0-30 min,2,6,4,0 hours,30–60 minutes,Cold,No
18/11/2025 13:13:46,18-20,Male,4-5 hours,3,5-6 AM,Yes,5000-8000,5-6,"Yes, light (0-20 min)",1 cup,2-4 hours,30-60 min,8,5,1,3 hours,2+ hours,Cold,No
18/11/2025 13:14:39,21-23,Male,4-5 hours,4,7-8 AM,No,5000-8000,5-6,"Yes, light (0-20 min)",0 cups,Less than 2 hours,1-2 hours,7,5,9,5+ hours,2+ hours,Humid,No
18/11/2025 19:39:28,18-20,Female,5-6 hours,3,6-7 AM,Yes,"10,000+",7-9,No,0 cups,4-6 hours,1-2 hours,10,6,8,2 hours,10–30 minutes,Cold,Yes
18/11/2025 22:36:14,27-30,Male,6-7 hours,4,5-6 AM,No,2000-5000,5-6,"Yes, intense (45+ min)",0 cups,6-8 hours,1-2 hours,6,2,5,1 hours,10–30 minutes,Cold,No
24/11/2025 08:55:47,18-20,Female,6-7 hours,4,7-8 AM,Yes,5000-8000,3-4,"Yes, light (0-20 min)",0 cups,4-6 hours,30-60 min,3,8,6,3 hours,30–60 minutes,Cold,Yes
24/11/2025 15:59:22,18-20,Female,Less than 4 hours,4,After 9 AM,No,0-2000,3-4,No,1 cup,2-4 hours,1-2 hours,10,1,3,2 hours,30–60 minutes,Cold,No
24/11/2025 16:19:17,21-23,Female,6-7 hours,3,6-7 AM,Yes,2000-5000,3-4,"Yes, medium (20-45 min)",2 cups,8+ hours,1-2 hours,8,8,8,3 hours,2+ hours,Pleasant,Yes
24/11/2025 16:30:49,18-20,Male,7-8 hours,3,7-8 AM,Yes,0-2000,3-4,No,1 cup,2-4 hours,1-2 hours,8,3,4,3 hours,10–30 minutes,Cold,No
